[07/Nov/2018:10:26:19 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:10:26:20 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (2 ms)
[07/Nov/2018:10:26:20 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (8 ms)
[07/Nov/2018:10:26:20 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:10:26:20 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:11:23:42 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (268 ms)
[07/Nov/2018:11:23:42 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (45 ms)
[07/Nov/2018:11:23:42 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (14 ms)
[07/Nov/2018:11:23:42 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (7 ms)
[07/Nov/2018:11:23:42 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (9 ms)
[07/Nov/2018:16:27:19 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (13 ms)
[07/Nov/2018:16:27:20 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (11 ms)
[07/Nov/2018:16:27:20 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (9 ms)
[07/Nov/2018:16:27:20 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:16:27:21 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (6 ms)
[07/Nov/2018:16:27:21 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:16:27:21 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (6 ms)
[07/Nov/2018:16:27:21 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (12 ms)
[07/Nov/2018:16:27:21 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (10 ms)
